datetime,Power,arrivalHour,isLowArrivalHour,dayOfWeek,monthOfYear,H-6,isoDay_std,isoDay_sum
2021-01-01 14:30:00-08:00,8.931112116825807,14,False,4,1,2.842170943040401e-14,0.0,0.0
2021-01-01 14:45:00-08:00,14.212161560020238,14,False,4,1,2.842170943040401e-14,0.0,0.0
2021-01-01 15:00:00-08:00,25.234982615443023,15,False,4,1,2.842170943040401e-14,0.0,0.0
2021-01-01 15:15:00-08:00,32.87849515838052,15,False,4,1,2.842170943040401e-14,0.0,0.0
2021-01-01 15:30:00-08:00,32.87849515838052,15,False,4,1,2.842170943040401e-14,0.0,0.0
2021-01-01 15:45:00-08:00,47.154064112349275,15,False,4,1,5.684341886080802e-14,0.0,0.0
2021-01-01 16:00:00-08:00,49.67760162160027,16,False,4,1,2.842170943040401e-14,0.0,0.0
2021-01-01 16:15:00-08:00,55.57075610091396,16,False,4,1,5.684341886080802e-14,0.0,0.0
2021-01-01 16:30:00-08:00,58.07465159381767,16,False,4,1,0.0,0.0,0.0
2021-01-01 16:45:00-08:00,66.2228635979026,16,False,4,1,0.0,0.0,0.0
2021-01-01 17:00:00-08:00,67.64676919779626,17,False,4,1,0.0,0.0,0.0
2021-01-01 17:15:00-08:00,67.4192433031866,17,False,4,1,0.0,0.0,0.0
2021-01-01 17:30:00-08:00,62.61753160947829,17,False,4,1,0.0,0.0,0.0
2021-01-01 17:45:00-08:00,60.53285088964493,17,False,4,1,0.0,0.0,0.0
2021-01-01 18:00:00-08:00,61.96189620933286,18,False,4,1,0.0,0.0,0.0
2021-01-01 18:15:00-08:00,61.25771763340061,18,False,4,1,0.0,0.0,0.0
2021-01-01 18:30:00-08:00,50.61986227505231,18,False,4,1,5.417817795692599,0.0,0.0
2021-01-01 18:45:00-08:00,54.037952824758875,18,False,4,1,10.835635591385312,0.0,0.0
2021-01-01 19:00:00-08:00,47.0790693174637,19,False,4,1,16.25345338707791,0.0,0.0
2021-01-01 19:15:00-08:00,47.0790693174637,19,False,4,1,21.671271182770397,0.0,0.0
2021-01-01 19:30:00-08:00,47.0790693174637,19,False,4,1,16.25345338707791,0.0,0.0
2021-01-01 19:45:00-08:00,47.0790693174637,19,False,4,1,10.835635591385198,0.0,0.0
2021-01-01 20:00:00-08:00,43.660978767757136,20,False,4,1,5.417817795692599,0.0,0.0
2021-01-01 20:15:00-08:00,40.61886810547339,20,False,4,1,0.0,0.0,0.0
2021-01-01 20:30:00-08:00,39.58639266722501,20,False,4,1,8.931112116825716,0.0,0.0
2021-01-01 20:45:00-08:00,34.54282202939846,20,False,4,1,23.143273676846093,0.0,0.0
2021-01-01 21:00:00-08:00,32.108005671697306,21,False,4,1,48.37825629228905,0.0,0.0
2021-01-01 21:15:00-08:00,36.23820726029091,21,False,4,1,81.25675145066953,0.0,0.0
2021-01-01 21:30:00-08:00,33.823586758472345,21,False,4,1,105.20413449222428,0.0,0.0
2021-01-01 21:45:00-08:00,30.183898967314036,21,False,4,1,138.14603704455317,0.0,0.0
2021-01-01 22:00:00-08:00,27.28088163200716,22,False,4,1,162.5886560507106,0.0,0.0
2021-01-01 22:15:00-08:00,27.28088163200716,22,False,4,1,185.28091699324432,0.0,0.0
2021-01-01 22:30:00-08:00,25.604471429678647,22,False,4,1,210.47707342868125,0.0,0.0
2021-01-01 22:45:00-08:00,20.856661871290687,22,False,4,1,229.5458729142349,0.0,0.0
2021-01-01 23:00:00-08:00,14.180722492794594,23,False,4,1,247.51504049043047,0.0,0.0
2021-01-01 23:15:00-08:00,14.180722492794594,23,False,4,1,259.3635276927031,0.0,0.0
2021-01-01 23:30:00-08:00,12.2622161214274,23,False,4,1,263.90640770836376,0.0,0.0
2021-01-01 23:45:00-08:00,13.53203467848138,23,False,4,1,258.2163950001061,0.0,0.0
2021-01-02 00:00:00-08:00,10.776903958206963,0,False,5,1,252.53152201164278,21.92530912561013,1583.1817633528324
2021-01-02 00:15:00-08:00,10.776903958206963,0,False,5,1,246.36999634185668,21.92530912561013,1583.1817633528324
2021-01-02 00:30:00-08:00,8.824175441153365,0,False,5,1,234.37232700743084,21.92530912561013,1583.1817633528324
2021-01-02 00:45:00-08:00,4.693973852559756,0,False,5,1,227.87742894254473,21.92530912561013,1583.1817633528324
2021-01-02 01:00:00-08:00,4.693973852559756,1,False,5,1,212.99460205067555,21.92530912561013,1583.1817633528324
2021-01-02 01:15:00-08:00,3.4241552955057775,1,False,5,1,198.81595373473863,21.92530912561013,1583.1817633528324
2021-01-02 01:30:00-08:00,1.5763049362898836,1,False,5,1,195.27516077714995,21.92530912561013,1583.1817633528324
2021-01-02 01:45:00-08:00,1.5763049362898836,1,False,5,1,188.31627726985482,21.92530912561013,1583.1817633528324
2021-01-02 02:00:00-08:00,6.79144348878542,2,False,5,1,184.8981867201482,21.92530912561013,1583.1817633528324
2021-01-02 02:15:00-08:00,6.79144348878542,2,False,5,1,178.43798550815796,21.92530912561013,1583.1817633528324
2021-01-02 02:30:00-08:00,5.215138552495537,2,False,5,1,170.94530885791926,21.92530912561013,1583.1817633528324
2021-01-02 02:45:00-08:00,5.215138552495537,2,False,5,1,158.40906156985403,21.92530912561013,1583.1817633528324
2021-01-02 03:00:00-08:00,0.0,3,True,5,1,146.85608847379422,21.92530912561013,1583.1817633528324
2021-01-02 03:15:00-08:00,0.0,3,True,5,1,142.47542762861173,21.92530912561013,1583.1817633528324
2021-01-02 03:30:00-08:00,0.0,3,True,5,1,136.71262171985907,21.92530912561013,1583.1817633528324
2021-01-02 03:45:00-08:00,0.0,3,True,5,1,132.35369865777466,21.92530912561013,1583.1817633528324
2021-01-02 04:00:00-08:00,0.0,4,True,5,1,127.52657461808451,21.92530912561013,1583.1817633528324
2021-01-02 04:15:00-08:00,0.0,4,True,5,1,118.56924898980071,21.92530912561013,1583.1817633528324
2021-01-02 04:30:00-08:00,0.0,4,True,5,1,110.35013366100702,21.92530912561013,1583.1817633528324
2021-01-02 04:45:00-08:00,0.0,4,True,5,1,101.02289656498367,21.92530912561013,1583.1817633528324
2021-01-02 05:00:00-08:00,0.0,5,True,5,1,87.9227374257711,21.92530912561013,1583.1817633528324
2021-01-02 05:15:00-08:00,0.0,5,True,5,1,74.82257828655852,21.92530912561013,1583.1817633528324
2021-01-02 05:30:00-08:00,0.0,5,True,5,1,61.4803229783073,21.92530912561013,1583.1817633528324
2021-01-02 05:45:00-08:00,0.0,5,True,5,1,54.155695785498,21.92530912561013,1583.1817633528324
2021-01-02 06:00:00-08:00,0.0,6,True,5,1,50.75187725091037,21.92530912561013,1583.1817633528324
2021-01-02 06:15:00-08:00,0.0,6,True,5,1,47.34805871632273,21.92530912561013,1583.1817633528324
2021-01-02 06:30:00-08:00,0.0,6,True,5,1,43.9100180360487,21.92530912561013,1583.1817633528324
2021-01-02 06:45:00-08:00,0.0,6,True,5,1,35.071957210127074,21.92530912561013,1583.1817633528324
2021-01-02 07:00:00-08:00,0.0,7,True,5,1,28.989027104479874,21.92530912561013,1583.1817633528324
2021-01-02 07:15:00-08:00,0.0,7,True,5,1,21.636278441778686,21.92530912561013,1583.1817633528324
2021-01-02 07:30:00-08:00,0.0,7,True,5,1,14.388407936915204,21.92530912561013,1583.1817633528324
2021-01-02 07:45:00-08:00,0.0,7,True,5,1,11.27073902064533,21.92530912561013,1583.1817633528324
2021-01-02 08:00:00-08:00,0.0,8,True,5,1,13.368208656870994,21.92530912561013,1583.1817633528324
2021-01-02 08:15:00-08:00,0.0,8,True,5,1,16.735496850150636,21.92530912561013,1583.1817633528324
2021-01-02 08:30:00-08:00,0.0,8,True,5,1,20.37433046635629,21.92530912561013,1583.1817633528324
2021-01-02 08:45:00-08:00,0.0,8,True,5,1,24.013164082561914,21.92530912561013,1583.1817633528324
2021-01-02 09:00:00-08:00,0.0,9,True,5,1,17.221720593776492,21.92530912561013,1583.1817633528324
2021-01-02 09:15:00-08:00,0.0,9,True,5,1,10.430277104991074,21.92530912561013,1583.1817633528324
2021-01-02 09:30:00-08:00,0.0,9,True,5,1,5.215138552495537,21.92530912561013,1583.1817633528324
2021-01-02 09:45:00-08:00,0.0,9,True,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 10:00:00-08:00,0.0,10,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 10:15:00-08:00,0.0,10,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 10:30:00-08:00,0.0,10,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 10:45:00-08:00,0.0,10,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 11:00:00-08:00,0.0,11,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 11:15:00-08:00,0.0,11,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 11:30:00-08:00,0.0,11,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 11:45:00-08:00,0.0,11,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 12:00:00-08:00,0.0,12,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 12:15:00-08:00,0.0,12,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 12:30:00-08:00,0.0,12,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 12:45:00-08:00,0.0,12,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 13:00:00-08:00,0.0,13,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 13:15:00-08:00,0.0,13,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 13:30:00-08:00,12.63899081736056,13,False,5,1,2.842170943040401e-14,21.92530912561013,1583.1817633528324
2021-01-02 13:45:00-08:00,16.215927121811518,13,False,5,1,2.842170943040401e-14,21.92530912561013,1583.1817633528324
2021-01-02 14:00:00-08:00,17.366797933717294,14,False,5,1,2.842170943040401e-14,21.92530912561013,1583.1817633528324
2021-01-02 14:15:00-08:00,23.648766709791087,14,False,5,1,2.842170943040401e-14,21.92530912561013,1583.1817633528324
2021-01-02 14:30:00-08:00,22.412046085919815,14,False,5,1,2.842170943040401e-14,21.92530912561013,1583.1817633528324
2021-01-02 14:45:00-08:00,22.412046085919815,14,False,5,1,2.842170943040401e-14,21.92530912561013,1583.1817633528324
2021-01-02 15:00:00-08:00,24.924144550074143,15,False,5,1,2.842170943040401e-14,21.92530912561013,1583.1817633528324
2021-01-02 15:15:00-08:00,34.05088787908951,15,False,5,1,5.684341886080802e-14,21.92530912561013,1583.1817633528324
2021-01-02 15:30:00-08:00,45.73085624795147,15,False,5,1,2.842170943040401e-14,21.92530912561013,1583.1817633528324
2021-01-02 15:45:00-08:00,53.24875126952087,15,False,5,1,5.684341886080802e-14,21.92530912561013,1583.1817633528324
2021-01-02 16:00:00-08:00,64.41743818695612,16,False,5,1,5.684341886080802e-14,21.92530912561013,1583.1817633528324
2021-01-02 16:15:00-08:00,65.94425842045737,16,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 16:30:00-08:00,84.11762439687617,16,False,5,1,5.684341886080802e-14,21.92530912561013,1583.1817633528324
2021-01-02 16:45:00-08:00,86.60995756208139,16,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 17:00:00-08:00,83.29223135776789,17,False,5,1,1.1368683772161603e-13,21.92530912561013,1583.1817633528324
2021-01-02 17:15:00-08:00,84.72446123941941,17,False,5,1,1.1368683772161603e-13,21.92530912561013,1583.1817633528324
2021-01-02 17:30:00-08:00,87.9322681249833,17,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 17:45:00-08:00,91.465185217917,17,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 18:00:00-08:00,91.465185217917,18,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 18:15:00-08:00,92.91071017219532,18,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 18:30:00-08:00,91.49298834154452,18,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 18:45:00-08:00,89.21627222065483,18,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 19:00:00-08:00,67.98056831470525,19,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 19:15:00-08:00,67.98056831470525,19,False,5,1,0.0,21.92530912561013,1583.1817633528324
2021-01-02 19:30:00-08:00,60.47632162190411,19,False,5,1,12.638990817360764,21.92530912561013,1583.1817633528324
2021-01-02 19:45:00-08:00,59.907387132436426,19,False,5,1,28.854917939172083,21.92530912561013,1583.1817633528324
2021-01-02 20:00:00-08:00,57.39528866828209,20,False,5,1,46.22171587288926,21.92530912561013,1583.1817633528324
2021-01-02 20:15:00-08:00,49.85294374865885,20,False,5,1,69.87048258268055,21.92530912561013,1583.1817633528324
