powerkW,datetime,temp,dirRad,diffRad,wind,solarTime,cosZenith,monthOfYear,isDaylight,isoDay_std,isoDay_sum
0.896,2021-05-26 19:45:00-07:00,27.5,14.0,41.0,16.2,6.666666666666667,0.10755938336090212,5,True,25.334549141647003,1930.944
0.32,2021-05-26 20:00:00-07:00,26.6,5.0,19.0,17.3,6.916666666666667,0.06249692361791307,5,True,25.334549141647003,1930.944
0.0,2021-05-26 20:15:00-07:00,25.9,2.0,4.0,18.0,7.166666666666667,0.019929542010333933,5,True,25.334549141647003,1930.944
0.0,2021-05-26 20:30:00-07:00,25.1,0.0,0.0,18.8,7.416666666666667,-0.0283764801287108,5,False,25.334549141647003,1930.944
0.0,2021-05-26 20:45:00-07:00,24.4,0.0,0.0,19.6,7.666666666666667,-0.07383338654382056,5,False,25.334549141647003,1930.944
0.0,2021-05-26 21:00:00-07:00,23.9,0.0,0.0,20.4,7.916666666666667,-0.11661922535099115,5,False,25.334549141647003,1930.944
0.0,2021-05-26 21:15:00-07:00,23.5,0.0,0.0,21.5,8.166666666666666,-0.15765987492630237,5,False,25.334549141647003,1930.944
0.0,2021-05-26 21:30:00-07:00,23.2,0.0,0.0,22.6,8.416666666666666,-0.19694703964576174,5,False,25.334549141647003,1930.944
0.0,2021-05-26 21:45:00-07:00,23.0,0.0,0.0,23.7,8.666666666666666,-0.23436284018549547,5,False,25.334549141647003,1930.944
0.0,2021-05-26 22:00:00-07:00,22.8,0.0,0.0,24.4,8.916666666666666,-0.2697675053132696,5,False,25.334549141647003,1930.944
0.0,2021-05-26 22:15:00-07:00,22.5,0.0,0.0,24.7,9.166666666666666,-0.303019330094738,5,False,25.334549141647003,1930.944
0.0,2021-05-26 22:30:00-07:00,22.2,0.0,0.0,25.1,9.416666666666666,-0.33398131761969485,5,False,25.334549141647003,1930.944
0.0,2021-05-26 22:45:00-07:00,22.0,0.0,0.0,25.4,9.666666666666666,-0.3625240768952292,5,False,25.334549141647003,1930.944
0.0,2021-05-26 23:00:00-07:00,21.7,0.0,0.0,25.7,9.916666666666666,-0.3885273959783899,5,False,25.334549141647003,1930.944
0.0,2021-05-26 23:15:00-07:00,21.5,0.0,0.0,26.1,10.166666666666666,-0.4118812548894702,5,False,25.334549141647003,1930.944
0.0,2021-05-26 23:30:00-07:00,21.2,0.0,0.0,26.8,10.416666666666666,-0.432486560227915,5,False,25.334549141647003,1930.944
0.0,2021-05-26 23:45:00-07:00,21.0,0.0,0.0,27.3,10.666666666666666,-0.4502557177381319,5,False,25.334549141647003,1930.944
0.0,2021-05-27 00:00:00-07:00,20.8,0.0,0.0,27.7,-13.083333333333334,-0.4651130949099215,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 00:15:00-07:00,20.6,0.0,0.0,28.1,-12.833333333333334,-0.4769953984469021,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 00:30:00-07:00,20.5,0.0,0.0,28.0,-12.583333333333334,-0.4858519789251442,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 00:45:00-07:00,20.5,0.0,0.0,28.0,-12.333333333333334,-0.49164506892704135,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 01:00:00-07:00,20.5,0.0,0.0,27.6,-12.083333333333334,-0.4943499579209181,5,False,27.723714767011177,2135.6159992000003
