datetime,price,monthOfYear,Hour,dayOfWeek,difRes,difLoad,isoDay_std,priceDif1,priceRef
2021-11-29 02:00:00+01:00,155.63,11,2,0,0.6742093972735451,0.03002174402039439,21.50692826944277,-32.49000000000001,188.12
2021-11-29 03:00:00+01:00,137.07,11,3,0,0.6875648744031555,0.03748969033515783,21.50692826944277,-44.129999999999995,181.2
2021-11-29 04:00:00+01:00,143.84,11,4,0,0.6403017092242751,0.04495763664992127,21.50692826944277,-32.16,176.0
2021-11-29 05:00:00+01:00,157.65,11,5,0,0.59144695868798,0.06113818699857539,21.50692826944277,-16.849999999999994,174.5
2021-11-29 06:00:00+01:00,203.3,11,6,0,0.4789287938550965,0.11455349778810826,21.50692826944277,21.900000000000006,181.4
2021-11-29 07:00:00+01:00,224.61,11,7,0,0.27991142481489173,0.18365449501387118,21.50692826944277,39.84,184.77
2021-11-29 08:00:00+01:00,308.12,11,8,0,0.17161442114732545,0.22114418534902902,21.50692826944277,122.13,185.99
2021-11-29 09:00:00+01:00,289.23,11,9,0,0.03695246003736766,0.21282147409462399,21.50692826944277,89.24000000000001,199.99
2021-11-29 10:00:00+01:00,250.66,11,10,0,-0.13604594837727493,0.1984104371297893,21.50692826944277,47.650000000000006,203.01
2021-11-29 11:00:00+01:00,253.0,11,11,0,-0.22385994048854752,0.1871035465247057,21.50692826944277,43.24000000000001,209.76
2021-11-29 12:00:00+01:00,268.97,11,12,0,-0.2702927133070376,0.17701132188648122,21.50692826944277,58.900000000000034,210.07
2021-11-29 13:00:00+01:00,329.2,11,13,0,-0.277835443913916,0.1832496063582515,21.50692826944277,130.92,198.28
2021-11-29 14:00:00+01:00,342.77,11,14,0,-0.3179710746661131,0.1902826722651271,21.50692826944277,144.42999999999998,198.34
2021-11-29 15:00:00+01:00,352.11,11,15,0,-0.3587986990519687,0.18330958986278773,21.50692826944277,147.0,205.11
2021-11-29 16:00:00+01:00,360.0,11,16,0,-0.29513528475538026,0.180520356901852,21.50692826944277,142.97,217.03
