,datetime,nSessions,TotPowerEqBin,delayAgg
0,2020-01-01 00:00:00-08:00,0,0.0,0.0
1,2020-01-01 00:15:00-08:00,6,19.244713210484914,0.0
2,2020-01-01 00:30:00-08:00,7,22.217553588552438,0.0
3,2020-01-01 00:45:00-08:00,7,22.217553588552438,0.0
4,2020-01-01 01:00:00-08:00,8,28.156425485035374,0.0
5,2020-01-01 01:15:00-08:00,7,40.33962086944998,0.0
6,2020-01-01 01:30:00-08:00,4,32.340203543079724,0.0
7,2020-01-01 01:45:00-08:00,3,22.36291888899074,0.0
8,2020-01-01 02:00:00-08:00,3,11.401507951041449,0.0
9,2020-01-01 02:15:00-08:00,4,16.033734608567606,0.0
10,2020-01-01 02:30:00-08:00,5,20.211975285496724,0.0
11,2020-01-01 02:45:00-08:00,5,20.211975285496724,0.0
12,2020-01-01 03:00:00-08:00,4,17.2391349074292,0.0
13,2020-01-01 03:15:00-08:00,3,13.060894230500082,0.0
14,2020-01-01 03:30:00-08:00,3,13.060894230500082,0.0
15,2020-01-01 03:45:00-08:00,2,8.428667572973925,0.0
16,2020-01-01 04:00:00-08:00,1,2.489795676490987,0.0
17,2020-01-01 04:15:00-08:00,2,4.287780253583469,0.0
18,2020-01-01 04:30:00-08:00,2,4.287780253583469,0.0
19,2020-01-01 04:45:00-08:00,2,4.287780253583469,0.0
20,2020-01-01 05:00:00-08:00,1,1.7979845770924814,0.0
21,2020-01-01 05:15:00-08:00,1,1.7979845770924814,0.0
22,2020-01-01 05:30:00-08:00,1,1.7979845770924814,0.0
23,2020-01-01 05:45:00-08:00,2,3.0470395764455054,0.0
24,2020-01-01 06:00:00-08:00,2,3.0470395764455054,0.0
25,2020-01-01 06:15:00-08:00,3,7.226873463713692,0.0
26,2020-01-01 06:30:00-08:00,3,7.226873463713692,0.0
27,2020-01-01 06:45:00-08:00,3,7.226873463713692,0.0
28,2020-01-01 07:00:00-08:00,2,5.977818464360668,0.0
29,2020-01-01 07:15:00-08:00,2,5.977818464360668,0.0
30,2020-01-01 07:30:00-08:00,2,5.977818464360668,0.0
31,2020-01-01 07:45:00-08:00,2,5.977818464360668,0.0
32,2020-01-01 08:00:00-08:00,2,5.977818464360668,0.0
33,2020-01-01 08:15:00-08:00,2,5.977818464360668,0.0
34,2020-01-01 08:30:00-08:00,2,5.977818464360668,0.0
35,2020-01-01 08:45:00-08:00,2,5.977818464360668,0.0
36,2020-01-01 09:00:00-08:00,2,5.977818464360668,0.0
37,2020-01-01 09:15:00-08:00,1,1.7979845770924814,0.0
38,2020-01-01 09:30:00-08:00,1,1.7979845770924814,0.0
39,2020-01-01 09:45:00-08:00,1,1.7979845770924814,0.0
40,2020-01-01 10:00:00-08:00,1,1.7979845770924814,0.0
41,2020-01-01 10:15:00-08:00,1,1.7979845770924814,0.0
42,2020-01-01 10:30:00-08:00,1,1.7979845770924814,0.0
