,omn,vanilla,scenario,recourse,season
0,296.83562660065786,298.98110213272,299.4684323749512,299.45818808697425,winter
1,110.50536475784871,109.94766726837894,110.30401835291545,110.31199808357196,winter
2,61.262490676772366,63.217562980877105,63.615491611263764,63.60998100276188,winter
3,140.4589035298665,139.40394982682326,139.2620642307629,139.26142231763356,winter
4,215.08327697759054,213.29976935746635,213.50918676733306,213.49073619965037,winter
5,240.3626566485724,241.3408560830269,243.27861766893128,243.30148621238638,winter
6,231.66105084603578,230.3338170299068,231.15677123526058,231.1402928862892,winter
7,201.82673556957113,204.10776841318676,203.89640657542154,203.9176926571545,winter
8,187.23480863939034,190.51787442555218,190.94580614342337,190.942948244019,winter
9,123.24625227270627,122.70042089340984,121.75018840016148,121.7514155615117,winter
10,118.08405988472573,117.28630767718077,116.84357201033642,116.86457998713149,winter
11,42.04191228291249,45.44944283785332,44.789084037315284,44.80031722187709,winter
12,207.36731547546708,209.89282178508523,207.34998718861698,207.3577714417171,winter
13,177.23026037654182,179.93759042493053,179.50697711096848,179.50327121183366,winter
14,127.59398796033094,128.76777904721013,128.1896238542327,128.19067024762128,winter
15,-5.171545832216568,-5.011330273723026,-4.865142905619496,-4.863869813995142,winter
16,-48.075040992583766,-48.65754436365934,-47.27802545512882,-47.27596301434628,winter
17,37.27984714589197,40.92938781087367,40.71404355900686,40.70694248752261,winter
18,85.32753189800496,84.52172495198108,84.16709806776366,84.16165483591087,winter
19,113.75230665749179,119.39195209236412,119.38042030349887,119.38166170739464,winter
20,41.78604350510252,45.64221215282168,42.55247009925323,42.581695654091355,winter
21,1.9690448324070884,1.3686464679552666,1.5203930919893334,1.5182219669859451,winter
22,253.33313622042178,254.5052145884043,254.39188030319073,254.3898175890434,winter
23,166.25807904033456,166.992802796579,165.81253117755318,165.74558672448842,winter
24,140.41352379427892,139.40135703727188,138.8604604888104,138.85428239351748,winter
25,153.37092832002375,154.55741358334933,155.93852140051953,155.94279471922826,winter
26,185.85733482171494,186.0233979901584,186.05193878012918,186.05116130678286,winter
27,113.03121755148283,114.3843718039901,114.44463888606299,114.45298301540498,winter
28,-4.129546362000212,-5.216308725255817,-5.7114528632412656,-5.7246395826518,winter
29,62.19702004957954,64.39670002750346,64.18595238484039,64.19061761350463,winter
30,201.70683308286527,202.34350557615653,202.25267623187258,202.25095587779006,winter
31,128.94374960421672,124.74687026227384,124.03099910298936,124.00563100432656,winter
32,126.75016354719267,130.61086767866905,130.0990512719371,130.0359405867316,winter
33,78.48410644349048,79.5713995848871,78.5017905235378,78.52684737157225,winter
34,101.14376654062258,100.58903482485547,101.04915789554713,101.0389231436431,winter
35,46.927438896470335,45.14747741543618,44.09998538446439,44.10536097311195,winter
36,-47.53477846109074,-45.45503329931769,-44.78372030178001,-44.81540000139197,winter
37,16.937056671100002,19.21928682221637,19.044719865418887,19.09788886715574,winter
38,129.67240373168084,134.44054930413472,133.11276893425205,133.1110568528087,winter
39,84.38322567883743,82.69388746874225,82.13545415754646,82.14144276260316,winter
40,200.69294481668237,200.56129584447493,201.4591386354464,201.45777487233397,winter
41,102.03710923069903,103.42816418920198,103.11698478139614,103.11285283919543,winter
42,61.48923079072889,61.52228241397323,61.865468372654725,61.865384929617555,winter
43,175.56096448146818,176.1061495673956,176.91170311369308,176.8952039299938,winter
44,25.339969350854393,24.396411738422653,24.663902171396572,24.66337632679502,winter
45,-26.54754678461217,-28.29863033513861,-28.203791187249905,-28.18523062234601,winter
46,82.59289549598813,86.78537145986017,86.8521592431178,86.89609853384329,winter
47,108.26162419061257,108.19495274339583,108.33448142453693,108.33472393884574,winter
48,153.6262421049481,155.11193300550667,155.00253238266978,155.01318882258684,winter
49,85.64096817731266,84.66910081379598,84.17761081073029,84.19100327465364,winter
50,140.64529597496502,140.5448581679861,140.82748759982124,141.08582020448088,winter
51,102.1932966414031,110.20670279051751,109.35457297651449,109.26445902179165,winter
52,37.16775438169171,39.09362811471074,36.754614079730985,36.76533485586326,winter
53,86.7966854794748,86.27011801259958,85.66096781911682,85.65758760262547,winter
54,150.86383681246085,154.4698622087782,154.07541839264888,153.86460646819043,winter
55,49.70995787848531,49.626269948504486,49.573611558187885,49.57480625199003,winter
56,-42.2232714706397,-45.89800996580057,-45.752895301140114,-45.74575707230478,winter
57,32.53706055737591,42.44281018680238,40.73624884551295,40.71362226351626,winter
58,90.27441791631394,91.07206796694233,90.66801822668323,90.6659840493017,winter
59,123.72062512329937,122.70571008435728,122.68634543600848,122.67911432398449,winter
60,211.55680522471653,213.0425179647366,212.37694257104826,212.38001577998202,winter
61,111.43243866422692,111.9087245630545,110.92442174413655,110.92539820964888,winter
62,109.39931055809191,108.57614764683481,108.77768748463059,108.77142815358931,winter
63,-6.360920800690083,-3.6909439488821887,-2.964632154651081,-2.975778335084206,winter
64,96.48876806102574,99.83504303860362,95.53669111511297,95.57591675497422,winter
65,162.44579796523078,166.1166388785636,166.3028384916485,166.31016755837635,winter
66,-5.06929861876928,-6.580042667943706,-7.042791139206762,-7.043361071867085,winter
67,55.71060742035788,58.817321337307085,58.34097352130278,58.348362985469834,winter
68,-1.1179909818551967,-0.9551337125194292,-0.6414818398053335,-0.6398670027373252,winter
69,-18.646456853846804,-21.1351541135447,-20.24904820458357,-20.51912124468636,winter
70,45.88039078169388,41.729602175684064,42.33869006234,42.329322465245426,spring
71,113.78643236686433,118.33458926253728,117.18145976500904,117.19273651713229,spring
72,9.600531126943965,11.1883735897136,11.745717913015419,11.79781256015349,spring
