,omn,vanilla,scenario,recourse,season
0,41.45702783993348,42.20222414779848,42.1872982284678,42.18580894427208,winter
1,11.802963415174956,13.99163479653706,13.918406912482814,13.928548082066648,winter
2,8.960491999729093,9.892593572651645,10.030784224641412,10.029930467125224,winter
3,18.726015744503208,20.140282134047368,19.579513750057995,19.5794292114877,winter
4,28.009556528855764,28.99878772621471,28.945751182572703,28.944077506040077,winter
5,32.94749205709654,35.33141434213963,35.554587042667286,35.57743569834017,winter
6,27.481649449175407,28.887642031344324,28.73644764899154,28.7356659969589,winter
7,24.1953676997272,25.705059062902023,25.54796053128982,25.554778697648253,winter
8,27.282714664214264,28.407816309016283,28.573340091329055,28.574316192350956,winter
9,18.9132425691526,19.65704418113195,19.3271980125703,19.32739553284685,winter
10,15.630418074008446,16.817655895350686,16.93937505811455,16.941835141216988,winter
11,5.092199711141443,7.115524167448096,7.16508780961616,7.162127689430951,winter
12,42.03649897682038,43.880558980862205,44.37394613736845,44.361846738492225,winter
13,28.382008768944758,29.669103388081847,29.47612970245043,29.478967689813363,winter
14,17.946670550216766,18.150751373119405,18.21355367620388,18.213794323316716,winter
15,-2.83381440009586,-1.8740086425637164,-2.168399703800987,-2.1683371707226993,winter
16,-13.955034318086817,-13.063682298599025,-12.468715030784711,-12.467267157632197,winter
17,5.428591084104508,5.8913723166092336,6.007009267855802,6.005301563746116,winter
18,11.881293368778497,12.977620249883085,12.910985218115416,12.909257307089101,winter
19,17.659894777804,19.481300925988226,19.385963162513104,19.394283152743547,winter
20,4.468107541378882,7.395209093341293,6.418034545988064,6.375711276223602,winter
21,-4.39432918476733,-3.4151939722844906,-3.4108360168762615,-3.411277096384381,winter
22,38.86348932208012,38.966833620678386,39.01726101770555,39.01722421696355,winter
23,21.67611370422487,23.617938472273075,22.76976851618373,22.765377094629198,winter
24,21.142923241024565,23.986491958805132,23.34022119264159,23.339531468185484,winter
25,21.24664263248266,22.5694096400657,22.484783507080383,22.482478226966343,winter
26,24.059487500292054,24.450018438329582,24.252668226554665,24.252930732438866,winter
27,17.651977614610143,18.263999688109298,17.937532427756395,17.93806910900861,winter
28,-5.845588611729119,-4.949390923730905,-4.918263288953948,-4.91896851241055,winter
29,9.478259874363086,9.698547797579497,9.689187228340705,9.689515709669147,winter
30,31.245706312733603,31.863699585301113,31.881104140058145,31.881103134593353,winter
31,15.088058127026088,17.242271452100166,16.622911165344494,16.629470424419946,winter
32,16.824036970978877,18.2632104606808,18.361576801984288,18.363375166571156,winter
33,11.761898202401373,12.954352271742794,12.596394173805553,12.592101978898656,winter
34,9.759077455544876,10.426207381595855,10.66453257501914,10.663308258159736,winter
35,5.625398932332873,7.677344243843833,7.215994140437726,7.217278025997746,winter
36,-21.500956789588912,-18.54458865897252,-18.716338920702302,-18.722235229627827,winter
37,-1.6587889164446277,0.26895836608365653,0.022127794631874198,0.034547434841063845,winter
38,20.133729004623188,21.36147221817617,21.393869317478995,21.393644185470063,winter
39,9.00043310926565,9.594630385353472,9.690959108514194,9.68556987425912,winter
40,38.59222869659341,38.980619514706454,39.321554803066306,39.322036699769704,winter
41,12.27074381226855,12.398690367473181,12.43235740349522,12.431950342241215,winter
42,7.856171923858014,8.806868656863706,8.484334382763013,8.48399808175755,winter
43,32.39692947979156,32.682426771064435,32.776334427178185,32.77568846216436,winter
44,0.28744935429909313,0.6595511552439076,0.9825595277334905,0.9832799761429851,winter
45,-13.138575424473782,-12.536668046381223,-12.684237378861665,-12.68821989605884,winter
46,13.603778037204751,15.0843378510291,15.017245296673867,15.033479780634183,winter
47,16.214668061023115,16.52986992873558,16.48934058684189,16.489560184283444,winter
48,26.704610892949322,27.41168636623712,27.177603966642522,27.183308578974003,winter
49,16.17248194546137,16.763425387732042,16.604791612812438,16.60297762950911,winter
50,15.859822574246426,17.406357659023122,17.47782849329414,17.620948482282948,winter
51,15.381943242806317,17.16595083207615,16.593713635327024,16.587577731602078,winter
52,2.493981935539605,2.9526546511940164,2.6659037469609514,2.6656202131126885,winter
53,8.712582343060737,9.145153549840359,9.142384705458381,9.141834641199647,winter
54,20.30519877634878,20.946070692365915,21.002542626696187,20.957051061964812,winter
55,2.755852755095932,2.875059691626312,2.8856074165793477,2.8859832312926605,winter
56,-8.09990338445677,-7.518471936241721,-7.535666034559809,-7.5360836598943965,winter
57,3.4560391019057493,4.810746637950759,4.64741146924516,4.641686580693057,winter
